Subject,File,Task,Total_Distance,Average_Mouse_Speed,Max_Speed,Total_Time,Mouse_Sensible_Pause_Count,Average_Pause_Time,Average_Absolute_Acceleration,Max_Acceleration,Min_Acceleration,Action_Pause_Time,Avg_of_All_Pauses_Time,Mouse_Pause_Time,Key_Pause_Time,Episodes_Count,Direction_Changes,Total_Angle_Changes,Average_X_Direction_Speed,Average_Y_Direction_Speed,Average_X_Accel,Average_Y_Accel,Max_X_Speed,Max_Y_Speed,Max_X_Accel,Max_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Menu_Navigation_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time
02,ui-log_火_10-12-2024_19-40-20.txt,task_10,20897.52,393.30,27658.63,72.913,64,0.64,42755.51,26221234.44,-1749627.99,0.27,0.03,0.03,1.34,66,39,55823.99,260.72,243.76,42755.51,33305.90,8500.00,27000.00,5812500.00,25636363.64,0.47,82,104.15,2.37,0.02,29,3,3.71,0.77,3.31
02,ui-log_火_10-12-2024_19-44-43.txt,task_11,19404.60,448.45,144499.13,81.066,49,0.78,123994.20,111380560.10,-4285687.58,0.27,0.03,0.03,1.11,50,34,47857.08,304.71,268.56,123994.20,33248.41,144000.00,29000.00,111000000.00,13159090.91,0.78,64,57.51,2.75,0.02,20,2,4.67,0.44,3.17
02,ui-log_火_10-12-2024_19-46-22.txt,task_12,16858.61,483.46,58137.77,48.626,48,0.48,123289.12,53044634.78,-3940584.57,0.16,0.02,0.03,0.97,49,22,37951.01,345.38,276.78,123289.12,86633.17,44000.00,38000.00,40300000.00,34500000.00,0.36,56,79.50,1.26,0.02,11,2,0.86,0.50,2.44
02,ui-log_火_10-12-2024_19-47-23.txt,task_13,14531.94,500.17,36055.51,51.837,35,0.76,62261.99,33614809.73,-2129388.45,0.19,0.03,0.03,1.02,36,22,38103.92,315.38,327.81,62261.99,45301.93,20000.00,30000.00,18437500.00,28125000.00,0.53,49,59.35,1.74,0.02,12,2,1.67,1.25,2.57
02,ui-log_火_10-12-2024_19-48-34.txt,task_14,14033.35,544.38,26669.27,49.152,34,0.78,27922.62,12473618.81,-1533345.37,0.17,0.03,0.03,0.93,35,17,33681.85,332.32,346.37,27922.62,22445.04,6800.00,26500.00,2555555.56,12397058.82,0.51,50,71.05,1.36,0.05,14,2,2.50,0.36,2.98
02,ui-log_火_10-12-2024_19-49-37.txt,task_15,15398.52,469.39,23259.41,56.134,42,0.71,41312.58,11294117.65,-1407991.43,0.16,0.03,0.03,1.22,43,26,41184.75,325.24,277.00,41312.58,15518.91,21000.00,10000.00,11294117.65,3428571.43,0.52,54,82.12,1.08,0.01,12,2,1.33,0.43,2.75
03,ui-log_水_11-12-2024_10-02-09.txt,training,25458.42,450.10,170000.00,72.032,33,1.60,193728.10,169913904.32,-16530864.20,0.44,0.04,0.06,0.62,34,32,29842.64,372.22,153.39,193728.10,21738.36,170000.00,6375.00,169913905.68,2385800.00,1.48,34,225.19,2.23,0.01,42,4,7.00,1.19,0.00
03,ui-log_水_11-12-2024_10-06-24.txt,task_01,28508.71,181.72,12326.93,204.52,151,0.93,20155.21,837277.31,-837277.31,0.34,0.04,0.05,1.81,152,73,119419.53,101.10,116.19,20155.21,15144.90,12250.00,8142.86,739583.33,496835.44,0.72,185,153.12,2.46,0.01,57,4,4.54,0.58,6.32
03,ui-log_水_11-12-2024_10-10-25.txt,task_02,19754.42,326.66,10720.07,83.49,71,0.63,25478.25,4782428.68,-1476114.11,0.20,0.02,0.03,1.62,72,37,65650.38,209.28,188.08,25478.25,18416.77,10600.00,9875.00,2846153.85,3846153.85,0.45,88,223.66,1.66,0.02,38,4,5.50,0.49,4.15
03,ui-log_水_11-12-2024_10-12-10.txt,task_03,18510.05,519.70,14914.72,66.252,50,0.77,28494.31,1146815.74,-610939.68,0.22,0.02,0.03,0.96,51,32,46383.30,359.31,288.06,28494.31,18890.19,14000.00,9500.00,1149870.80,1125000.00,0.56,60,219.89,1.68,0.01,50,4,6.67,0.49,3.81
03,ui-log_水_11-12-2024_10-13-30.txt,task_04,17809.95,395.36,9208.69,68.383,57,0.65,24194.63,920454.55,-455286.72,0.18,0.02,0.03,1.36,58,34,47554.15,255.42,215.53,24194.63,16467.98,9200.00,6625.00,750000.00,920454.55,0.47,67,198.07,1.50,0.01,35,3,3.50,0.75,3.92
03,ui-log_水_11-12-2024_10-14-53.txt,task_05,19883.36,487.43,11329.93,71.998,63,0.64,24088.12,655232.89,-410156.25,0.24,0.02,0.03,1.40,64,38,54807.46,340.64,251.85,24088.12,15877.92,11285.71,5375.00,640625.00,272727.27,0.42,81,224.00,1.95,0.01,47,2,4.33,0.30,2.99
03,ui-log_水_11-12-2024_10-17-41.txt,task_06,18478.67,424.02,20056.17,63.138,45,0.74,36690.87,16162022.43,-4240945.93,0.20,0.02,0.03,1.34,46,24,49436.37,267.33,259.38,36690.87,25871.33,14000.00,20000.00,13377049.18,9163934.43,0.49,60,182.86,1.24,0.01,29,2,2.60,0.65,2.95
03,ui-log_水_11-12-2024_10-19-14.txt,task_07,20091.73,534.44,9968.32,57.203,50,0.57,30922.02,477800.37,-477800.37,0.23,0.02,0.03,0.94,51,33,45740.29,363.37,300.09,30922.02,20253.77,9000.00,8571.43,428571.43,468750.00,0.40,60,215.18,2.01,0.01,35,2,5.80,0.37,3.05
03,ui-log_水_11-12-2024_10-20-26.txt,task_08,16114.53,605.26,47381.43,45.107,38,0.60,39112.21,5839363.81,-5839363.81,0.28,0.02,0.03,0.78,39,27,32959.20,358.61,366.57,39112.21,30084.28,14400.00,47000.00,8400000.00,5795918.37,0.40,48,203.92,1.08,0.02,28,2,4.40,0.46,3.37
03,ui-log_水_11-12-2024_10-21-35.txt,task_09,16654.48,570.96,29500.47,50.418,47,0.60,32606.54,4138967.36,-4138967.36,0.25,0.02,0.03,1.04,48,34,37022.55,369.77,315.74,32606.54,21757.66,17600.00,29500.00,1660000.00,4138888.89,0.42,55,178.03,1.36,0.01,30,2,4.40,0.28,4.19
03,ui-log_水_11-12-2024_10-22-45.txt,task_10,18702.53,605.57,32000.00,48.77,36,0.65,37335.46,25787110.17,-2909311.16,0.26,0.02,0.02,0.65,37,22,41210.82,382.10,349.71,37335.46,30482.83,9625.00,32000.00,453993.06,25800000.00,0.41,44,213.84,1.26,0.02,28,2,4.60,0.32,2.85
03,ui-log_水_11-12-2024_10-25-28.txt,task_11,20169.53,583.04,12904.70,59.51,43,0.76,28179.97,971830.99,-428989.95,0.31,0.02,0.03,0.85,44,31,45342.42,375.53,344.10,28179.97,19899.95,12875.00,8166.67,496598.64,971830.99,0.52,51,237.05,1.11,0.04,44,2,5.20,0.27,2.87
03,ui-log_水_11-12-2024_10-26-30.txt,task_12,17188.69,464.06,29464.20,53.691,41,0.67,29676.70,3225680.56,-1442727.93,0.25,0.02,0.02,0.73,42,22,46288.31,303.93,269.53,29676.70,19725.43,27833.33,9800.00,3024420.80,1450000.00,0.47,48,183.44,1.28,0.01,28,2,4.20,0.35,3.61
03,ui-log_水_11-12-2024_10-27-41.txt,task_13,15749.13,565.36,13038.40,43.543,34,0.58,28158.14,1855088.39,-1855088.39,0.21,0.02,0.03,0.96,35,23,36658.00,380.05,324.56,28158.14,19713.51,8857.14,12200.00,484375.00,1862500.00,0.33,48,187.94,1.41,0.01,37,2,6.60,0.44,2.99
03,ui-log_水_11-12-2024_10-28-43.txt,task_14,15781.51,609.16,28160.26,42.634,37,0.58,30596.40,3450009.23,-3450009.23,0.18,0.02,0.03,0.68,38,19,33228.59,392.34,336.53,30596.40,21912.94,11600.00,28000.00,1200000.00,3500000.00,0.35,49,252.51,0.96,0.01,25,2,3.80,0.36,2.67
03,ui-log_水_11-12-2024_10-29-42.txt,task_15,17139.69,559.25,10698.08,47.62,45,0.52,25917.07,924707.67,-397796.39,0.26,0.02,0.03,1.13,46,31,38257.43,344.37,343.94,25917.07,19247.49,8857.14,8142.86,928571.43,386666.67,0.33,58,232.89,1.09,0.01,32,2,4.20,0.38,3.97
