Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count_proximity_threshold_10,Repeated_Mouse_Patterns_Count_proximity_threshold_20,Repeated_Mouse_Patterns_Count_proximity_threshold_30,Repeated_Mouse_Patterns_Count_proximity_threshold_40,Repeated_Mouse_Patterns_Count_proximity_threshold_50,Repeated_Mouse_Patterns_Count_proximity_threshold_60,Repeated_Mouse_Patterns_Count_proximity_threshold_70,Repeated_Mouse_Patterns_Count_proximity_threshold_80,Repeated_Mouse_Patterns_Count_proximity_threshold_90,Repeated_Mouse_Patterns_Count_proximity_threshold_100,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density_Window,Interaction_Density_Over_Task
02,ui-log_火_10-12-2024_19-35-19.txt,task_06,17278.16,384.97,6403.12,58.092,48,0.6219,13327.66,1246919.46,-398416.62,0.14,0.02,0.03,1.06,49,30,44708.57,233.29,256.20,9246.39,10348.04,5000.00,5000.00,1466666.67,1050000.00,0.47,56,109.33,0.14,1.30,39,3,4.67,0.62,2.78,0.0452,0,0,0,0,0,0,0,0,0,0,0.5572,599.44,43.21,43.21
02,ui-log_火_10-12-2024_19-36-20.txt,task_07,21321.78,407.46,61777.83,68.642,62,0.6347,62266.70,30832442.47,-5446114.95,0.18,0.03,0.03,1.37,63,30,48271.52,289.28,235.55,43142.74,42134.89,47500.00,39500.00,23708439.54,19711767.20,0.51,70,126.22,0.31,2.04,28,2,2.43,0.44,2.55,0.0395,4,8,8,8,8,8,8,8,8,8,0.4429,528.20,37.06,37.06
02,ui-log_火_10-12-2024_19-37-36.txt,task_08,16907.40,520.33,12046.21,52.356,45,0.6289,20985.69,2539486.97,-663396.75,0.21,0.03,0.03,1.16,46,24,41406.61,348.19,322.83,16128.68,12126.19,11666.67,5600.00,2481481.48,1437500.00,0.51,48,72.31,0.21,1.27,16,2,1.67,0.36,2.73,0.0427,2,2,2,2,2,2,2,2,2,2,0.4991,509.60,39.75,39.75
02,ui-log_火_10-12-2024_19-38-44.txt,task_09,17296.83,453.16,48259.71,57.73,51,0.5585,51689.12,45086338.48,-2874687.82,0.22,0.03,0.03,1.69,52,34,46772.08,320.08,248.06,41920.25,30004.78,40000.00,27000.00,37312500.00,25312500.00,0.49,58,66.46,0.09,1.10,18,2,4.00,0.38,2.78,0.0472,0,0,0,0,0,0,0,0,0,0,0.4858,511.75,38.97,38.97
02,ui-log_火_10-12-2024_19-40-20.txt,task_10,20897.52,393.30,27658.63,72.913,64,0.6369,42755.51,26221234.44,-1749627.99,0.27,0.03,0.03,1.34,66,39,55823.99,260.72,243.76,20939.55,33305.90,8500.00,27000.00,5812500.00,25636363.64,0.47,82,104.15,0.24,2.37,29,3,3.71,0.77,3.31,0.0466,0,0,0,0,0,0,0,0,0,0,0.4569,513.74,36.89,36.89
02,ui-log_火_10-12-2024_19-44-43.txt,task_11,19404.60,448.45,144499.13,81.066,49,0.7779,123994.20,111380560.10,-4285687.58,0.27,0.03,0.03,1.11,50,34,47857.08,304.71,268.56,112522.87,33248.41,144000.00,29000.00,111000000.00,13159090.91,0.78,64,57.51,0.27,2.75,20,2,4.67,0.44,3.17,0.0430,2,6,6,6,6,8,14,20,22,30,0.5280,534.17,29.53,29.53
02,ui-log_火_10-12-2024_19-46-22.txt,task_12,16858.61,483.46,58137.77,48.626,48,0.4836,123289.12,53044634.78,-3940584.57,0.16,0.02,0.03,0.97,49,22,37951.01,345.38,276.78,83517.86,86633.17,44000.00,38000.00,40300000.00,34500000.00,0.36,56,79.50,0.26,1.26,11,2,0.86,0.50,2.44,0.0393,12,14,14,14,14,16,18,18,22,22,0.4758,426.26,43.45,43.45
02,ui-log_火_10-12-2024_19-47-23.txt,task_13,14531.94,500.17,36055.51,51.837,35,0.7566,62261.99,33614809.73,-2129388.45,0.19,0.03,0.03,1.02,36,22,38103.92,315.38,327.81,38366.28,45301.93,20000.00,30000.00,18437500.00,28125000.00,0.53,49,59.35,0.13,1.74,12,2,1.67,1.25,2.57,0.0458,2,2,2,2,2,8,10,10,12,12,0.6027,666.65,36.69,36.69
02,ui-log_火_10-12-2024_19-48-34.txt,task_14,14033.35,544.38,26669.27,49.152,34,0.7821,27922.62,12473618.81,-1533345.37,0.17,0.03,0.03,0.93,35,17,33681.85,332.32,346.37,12112.25,22445.04,6800.00,26500.00,2555555.56,12397058.82,0.51,50,71.05,0.23,1.36,14,2,2.50,0.36,2.98,0.0419,0,0,0,0,0,0,0,0,0,0,0.5576,469.47,37.58,37.58
02,ui-log_火_10-12-2024_19-49-37.txt,task_15,15398.52,469.39,23259.41,56.134,42,0.7051,41312.58,11294117.65,-1407991.43,0.16,0.03,0.03,1.22,43,26,41184.75,325.24,277.00,36104.35,15518.91,21000.00,10000.00,11294117.65,3428571.43,0.52,54,82.12,0.12,1.08,12,2,1.33,0.43,2.75,0.0467,0,0,0,2,6,8,8,8,10,10,0.5407,499.07,36.86,36.86
