Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Avg_Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density
24,ui-log_月_6-1-2025_12-45-21.txt,task_13,17986.16,503.66,7634.22,59.367,52,0.5904,23607.15,357223.93,-345578.95,0.24,0.02,0.03,0.88,53,34,44850.66,319.91,311.89,17632.31,17210.13,7125.00,6857.14,303571.43,265306.12,0.41,61,135.16,0.08,1.03,52,6,5.50,0.37,3.92,0.0435,4,0.5359,514.08,43.96
24,ui-log_月_6-1-2025_12-46-37.txt,task_14,15945.48,490.92,9791.71,54.915,49,0.5765,24261.10,365381.03,-330919.82,0.28,0.02,0.03,0.74,50,24,41048.17,314.56,297.15,18465.11,17613.84,9000.00,6142.86,484375.00,210884.35,0.42,59,146.63,0.06,1.33,38,6,4.83,0.81,3.89,0.0449,6,0.4837,387.49,43.50
24,ui-log_月_6-1-2025_12-47-48.txt,task_15,17108.10,387.95,8650.33,67.153,61,0.5937,24203.29,1064245.22,-329274.62,0.26,0.02,0.03,0.80,64,26,54317.27,249.56,235.82,18805.13,17018.77,6875.00,5625.00,1060606.06,256944.44,0.40,78,132.77,0.07,0.90,47,6,5.50,0.36,4.23,0.0554,18,0.4737,415.77,41.96
25,ui-log_火_7-1-2025_10-14-51.txt,training,29725.42,286.02,45343.14,115.045,48,1.4639,60758.37,45282331.92,-4067408.92,0.58,0.03,0.05,0.16,49,76,79608.27,223.87,107.63,50620.59,27541.73,34000.00,30000.00,33996693.12,29939285.71,1.30,52,148.66,0.09,1.38,34,6,3.83,0.86,0.00,0.0467,0,0.9127,1780.83,34.00
25,ui-log_火_7-1-2025_10-20-29.txt,task_01,57052.90,213.25,17117.24,390.639,301,0.7689,20496.19,16111088.86,-1227168.11,0.43,0.03,0.03,3.39,302,101,289412.16,104.54,148.70,11481.76,14915.67,17000.00,14000.00,16000000.00,12380952.38,0.64,334,87.63,0.38,3.75,164,12,5.47,1.02,7.71,0.0885,150,0.5261,600.13,35.41
25,ui-log_火_7-1-2025_10-28-12.txt,task_02,22104.43,269.22,29832.87,121.737,82,0.8937,44466.34,28072851.80,-1957674.98,0.31,0.03,0.03,1.29,83,31,87237.71,167.00,158.24,28016.67,28495.04,16000.00,29000.00,11875000.00,27312500.00,0.63,111,76.65,0.13,1.80,66,6,6.33,0.82,5.54,0.0689,0,0.5796,586.60,36.88
25,ui-log_火_7-1-2025_10-30-44.txt,task_03,20551.36,341.29,23706.54,92.555,67,0.6916,23268.90,19946136.94,-1494140.44,0.23,0.02,0.03,1.02,68,37,86679.28,217.07,212.29,17545.19,14353.18,21000.00,11000.00,17500000.00,9625000.00,0.45,90,96.13,0.11,1.96,54,6,6.67,1.05,4.92,0.0736,0,0.6713,622.18,47.23
25,ui-log_火_7-1-2025_10-32-36.txt,task_04,21165.15,286.07,28160.26,98.986,66,0.8649,56712.96,26301997.09,-1752193.69,0.24,0.03,0.03,1.81,67,35,80733.34,187.89,153.00,40364.27,29322.00,19000.00,27000.00,17937500.00,25250000.00,0.60,88,102.40,0.08,1.34,58,6,6.33,0.69,3.83,0.0666,6,0.6221,574.96,38.78
25,ui-log_火_7-1-2025_10-34-24.txt,task_05,16021.79,392.40,24186.77,59.434,51,0.5630,46200.64,23007580.36,-2672218.45,0.12,0.02,0.03,1.18,52,23,52837.90,244.33,238.14,31562.22,28827.10,21000.00,12000.00,19954545.45,11454545.45,0.42,59,72.94,0.09,1.37,70,6,9.00,0.45,3.70,0.0576,16,0.5904,686.22,48.34
25,ui-log_火_7-1-2025_10-37-01.txt,task_06,21474.13,438.49,11629.70,77.547,59,0.6423,18096.69,4906449.06,-725635.65,0.41,0.02,0.02,1.16,61,37,70756.24,248.61,293.51,13064.66,11962.53,10500.00,6500.00,4437500.00,2616666.67,0.46,71,65.30,0.09,1.26,52,7,5.29,0.62,4.61,0.0575,0,0.6319,511.40,47.85
25,ui-log_火_7-1-2025_10-38-35_タスク7_ファイル名をflower_6にした.txt,task_07,16565.33,363.18,13453.62,69.105,59,0.6147,35169.55,12516124.05,-892332.21,0.16,0.02,0.03,0.86,60,35,57303.85,224.59,226.21,20138.05,27346.78,9000.00,10000.00,8437500.00,9250000.00,0.43,71,92.82,0.07,1.30,66,6,8.00,0.57,4.20,0.0604,18,0.5428,614.74,44.66
25,ui-log_火_7-1-2025_10-40-41.txt,task_08,21239.40,617.08,10671.87,58.053,38,0.6772,23283.22,5343328.05,-628981.78,0.15,0.02,0.02,0.96,39,30,55316.08,377.02,378.15,18394.63,12540.11,7500.00,10333.33,3739130.43,3826086.96,0.41,52,109.69,0.09,1.21,57,6,6.17,0.55,4.05,0.0455,12,0.8219,707.86,54.26
25,ui-log_火_7-1-2025_10-41-51.txt,task_09,16726.80,381.43,14317.82,66.751,49,0.6842,33831.77,13691490.28,-1321328.50,0.13,0.02,0.03,0.97,50,29,59842.45,256.01,204.69,17361.49,25620.88,8000.00,14000.00,4750000.00,13380952.38,0.45,61,102.97,0.08,1.06,51,6,6.67,0.36,5.13,0.0624,0,0.6600,701.88,45.81
25,ui-log_火_7-1-2025_10-43-21.txt,task_10,19267.28,319.05,28160.26,99.638,84,0.6701,41168.57,26607033.22,-2565825.65,0.14,0.03,0.03,2.36,85,43,74545.89,215.54,169.34,33073.09,18016.99,28000.00,11000.00,26450000.00,10411764.71,0.53,93,115.38,0.14,1.83,77,11,4.91,0.99,2.86,0.0675,96,0.4908,546.03,38.80
25,ui-log_火_7-1-2025_10-49-04.txt,task_11,16369.31,340.30,20024.98,69.524,50,0.7134,71997.51,18960647.75,-1245666.73,0.12,0.02,0.03,1.56,51,27,57262.49,207.18,211.39,41677.21,52235.15,8000.00,20000.00,7611111.11,18937500.00,0.50,62,90.02,0.09,1.49,69,6,9.00,0.56,3.79,0.0611,0,0.6526,579.27,47.84
25,ui-log_火_7-1-2025_10-50-26.txt,task_12,17710.05,436.24,15297.06,58.397,40,0.6326,31362.48,6726574.82,-965096.02,0.12,0.02,0.02,1.02,41,31,51454.13,262.97,269.39,18708.38,20804.28,10000.00,15000.00,3125000.00,6600000.00,0.48,42,89.42,0.07,1.20,65,6,8.67,0.43,3.22,0.0507,0,0.7889,558.58,53.17
25,ui-log_火_7-1-2025_10-51-46.txt,task_13,18360.15,251.37,15700.32,99.738,77,0.8365,22133.72,6802836.07,-1094430.40,0.16,0.03,0.04,1.01,78,25,65382.60,164.87,146.15,14281.35,16108.66,10000.00,12500.00,4102941.18,5426470.59,0.58,101,65.48,0.16,1.98,77,7,8.57,0.49,3.52,0.0622,0,0.4489,534.59,33.01
25,ui-log_火_7-1-2025_10-54-02.txt,task_14,14021.80,360.27,6556.76,66.101,51,0.6876,18384.71,5010164.81,-312812.01,0.18,0.02,0.03,0.86,52,25,52770.71,223.78,219.25,11571.04,13545.76,4800.00,5000.00,2812500.00,4625000.00,0.53,58,77.25,0.10,1.61,57,6,8.00,0.69,3.26,0.0657,0,0.5573,470.02,43.96
25,ui-log_火_7-1-2025_10-55-23.txt,task_15,19294.22,147.10,23834.06,146.929,64,1.7525,38801.98,20421492.17,-1526048.72,0.16,0.04,0.05,1.36,65,37,60277.56,99.86,80.90,31452.99,16826.21,23000.00,6250.00,20062500.00,3812500.00,1.45,73,88.93,0.09,1.29,67,6,7.67,0.40,3.60,0.0545,0,0.5315,474.51,22.74
26,ui-log_火_7-1-2025_13-06-26.txt,training,31555.81,272.96,22033.61,145.778,79,1.1503,26990.06,7405667.23,-1110083.03,0.60,0.03,0.05,0.72,80,43,97654.85,210.95,123.24,23167.73,12307.18,21800.00,7000.00,6400000.00,3733333.33,0.96,91,70.34,0.06,1.19,34,8,3.00,0.51,0.00,0.0540,0,0.6816,975.75,33.33
26,ui-log_火_7-1-2025_13-13-22.txt,task_01,20383.92,111.80,11180.34,284.0,166,1.3268,20342.42,10606851.54,-660188.18,1.24,0.05,0.06,7.36,167,42,115497.75,72.93,65.43,14927.64,12117.76,10000.00,6000.00,9533333.33,5647058.82,1.00,216,59.11,0.22,3.18,38,4,3.50,1.76,8.72,0.0989,98,0.3799,459.17,19.05
26,ui-log_火_7-1-2025_13-19-01.txt,task_02,18503.82,195.82,31144.82,127.203,93,0.9017,41960.38,29005167.66,-1973233.41,0.36,0.03,0.04,3.43,94,26,74834.63,137.98,97.91,29308.25,18889.36,31000.00,11000.00,28875000.00,10421052.63,0.65,122,76.61,0.08,1.29,33,5,4.67,0.58,6.86,0.0706,130,0.4590,519.12,30.65
